TITLE = "PIV"
VARIABLES = "x", "y", "u", "v"
ZONE T="0", I=75, J=42
4.960000000000000000e+02 1.072000000000000000e+03 3.169155120849609375e-01 1.525837516784667969e+01
5.120000000000000000e+02 1.072000000000000000e+03 3.122234344482421875e-01 1.536842632293701172e+01
5.280000000000000000e+02 1.072000000000000000e+03 2.844715118408203125e-01 1.544563579559326172e+01
5.440000000000000000e+02 1.072000000000000000e+03 3.115634918212890625e-01 1.549420928955078125e+01
5.600000000000000000e+02 1.072000000000000000e+03 3.558006286621093750e-01 1.555963039398193359e+01
5.760000000000000000e+02 1.072000000000000000e+03 3.398780822753906250e-01 1.560891532897949219e+01
5.920000000000000000e+02 1.072000000000000000e+03 2.936115264892578125e-01 1.560036849975585938e+01
6.080000000000000000e+02 1.072000000000000000e+03 2.688980102539062500e-01 1.559470939636230469e+01
6.240000000000000000e+02 1.072000000000000000e+03 2.576122283935546875e-01 1.561485290527343750e+01
6.400000000000000000e+02 1.072000000000000000e+03 2.484226226806640625e-01 1.562214469909667969e+01
6.560000000000000000e+02 1.072000000000000000e+03 2.504863739013671875e-01 1.564362430572509766e+01
6.720000000000000000e+02 1.072000000000000000e+03 2.618923187255859375e-01 1.565537548065185547e+01
1.600000000000000000e+01 1.088000000000000000e+03 1.753618240356445312e+00 1.533675861358642578e+01
3.200000000000000000e+01 1.088000000000000000e+03 1.575069427490234375e+00 1.555531787872314453e+01
4.800000000000000000e+01 1.088000000000000000e+03 8.611335754394531250e-01 1.637451362609863281e+01
6.400000000000000000e+01 1.088000000000000000e+03 2.802696228027343750e-01 1.713873672485351562e+01
8.000000000000000000e+01 1.088000000000000000e+03 -1.909332275390625000e-01 1.734531402587890625e+01
9.600000000000000000e+01 1.088000000000000000e+03 -4.557418823242187500e-01 1.724427795410156250e+01
1.120000000000000000e+02 1.088000000000000000e+03 -6.173133850097656250e-01 1.690113258361816406e+01
1.280000000000000000e+02 1.088000000000000000e+03 -9.541759490966796875e-01 1.601562118530273438e+01
1.440000000000000000e+02 1.088000000000000000e+03 -1.984682083129882812e+00 1.455776214599609375e+01
1.600000000000000000e+02 1.088000000000000000e+03 -3.043680191040039062e+00 1.257735061645507812e+01
1.760000000000000000e+02 1.088000000000000000e+03 -3.620365142822265625e+00 1.054850006103515625e+01
1.920000000000000000e+02 1.088000000000000000e+03 -3.466154098510742188e+00 9.489137649536132812e+00
2.080000000000000000e+02 1.088000000000000000e+03 -2.916051864624023438e+00 9.118646621704101562e+00
2.240000000000000000e+02 1.088000000000000000e+03 -2.203044891357421875e+00 9.071832656860351562e+00
2.400000000000000000e+02 1.088000000000000000e+03 -1.606180191040039062e+00 8.929685592651367188e+00
2.560000000000000000e+02 1.088000000000000000e+03 -1.066286087036132812e+00 8.916410446166992188e+00
2.720000000000000000e+02 1.088000000000000000e+03 -5.113315582275390625e-01 9.092605590820312500e+00
2.880000000000000000e+02 1.088000000000000000e+03 -6.245613098144531250e-02 9.386100769042968750e+00
